Accession	Name	Description	ID
272994	\	Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7	35790
222	Achromobacter		39101
1287738	Achromobacter dolens	_blank_	42832
1287735	Achromobacter insuavis	Achromobacter insuavis	42556
1003200	Achromobacter insuavis AXX-A	_blank_	41271
72557	Achromobacter ruhlandii		39091
1707589	Achromobacter sp. 2015clin2ach	_blank_	42840
1707590	Achromobacter sp. 2015clin4ach	_blank_	42841
944673	Achromobacter sp. sallbros1	_blank_	42688
85698	Achromobacter xylosoxidans		36941
905	Acidaminococcus fermentans	_blank_	41532
469	Acinetobacter		37046
470	Acinetobacter baumannii		35507
1310679	Acinetobacter baumannii 1552865	_blank_	42628
696749	Acinetobacter baumannii 1656-2		35649
1082934	Acinetobacter baumannii A424		36939
480119	Acinetobacter baumannii AB0057		35531
710094	Acinetobacter baumannii AB056		35650
710095	Acinetobacter baumannii AB058		35651
710096	Acinetobacter baumannii AB059		35652
557600	Acinetobacter baumannii AB307-0294		35595
557601	Acinetobacter baumannii AB900		35596
405416	Acinetobacter baumannii ACICU		35523
400667	Acinetobacter baumannii ATCC 17978		35522
575584	Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841	Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841	35598
509173	Acinetobacter baumannii AYE		35535
497978	Acinetobacter baumannii MDR-ZJ06		35532
1217642	Acinetobacter baumannii NIPH 1362	_blank_	42791
1217630	Acinetobacter baumannii NIPH 201	_blank_	42792
1217632	Acinetobacter baumannii NIPH 329	_blank_	42794
1217627	Acinetobacter baumannii NIPH 67	_blank_	42793
509170	Acinetobacter baumannii SDF		35534
526964	Acinetobacter baumannii WBA9388		35539
526963	Acinetobacter baumannii WBL7215		35538
526962	Acinetobacter baumannii WBL7355		35537
945555	Acinetobacter baumannii WM99c	_blank_	42386
1400867	Acinetobacter baumannii ZW85-1	_blank_	40496
62977	Acinetobacter baylyi ADP1	_blank_	41144
106648	Acinetobacter bereziniae		39090
981324	Acinetobacter bereziniae LMG 1003 = CIP 70.12	_blank_	42822
1217651	Acinetobacter bereziniae NIPH 3	_blank_	42821
1217715	Acinetobacter bohemicus ANC 3994	_blank_	42695
202951	Acinetobacter bouvetii	Acinetobacter bouvetii	42946
1120925	Acinetobacter bouvetii DSM 14964 = CIP 107468	_blank_	42820
471	Acinetobacter calcoaceticus		39094
1217653	Acinetobacter calcoaceticus ANC 3680	_blank_	42797
1217690	Acinetobacter calcoaceticus ANC 3811	_blank_	42799
909768	Acinetobacter calcoaceticus/baumannii complex	_blank_	40550
1217654	Acinetobacter calcoaceticus NIPH 13	_blank_	42798
107673	Acinetobacter calcoaceticus subsp. anitratus		36918
